state,input
"[-1.244,-9.621,54.343,0.341]","[0.000]"
"[-1.268,-14.038,54.342,-1.095]","[0.000]"
"[-1.300,-18.003,54.342,0.268]","[0.000]"
"[-1.340,-21.255,54.340,-1.454]","[0.000]"
"[-1.385,-23.959,54.339,0.129]","[0.000]"
"[1.777,1795.270,54.322,-71.925]","[0.000]"
"[5.214,1640.280,54.054,-189.906]","[0.000]"
"[8.303,1448.550,53.592,-266.468]","[0.000]"
"[10.982,1230.820,53.015,-303.533]","[0.000]"
"[13.210,997.955,52.408,-298.126]","[0.000]"
"[14.964,757.624,51.845,-260.037]","[0.000]"
"[16.238,517.483,51.389,-193.197]","[0.000]"
"[17.036,281.125,51.083,-110.548]","[0.000]"
"[17.369,52.875,50.952,-19.301]","[0.000]"
"[17.257,-165.772,51.002,68.760]","[0.000]"
"[16.719,-371.820,51.219,146.707]","[0.000]"
"[15.785,-563.363,51.574,206.821]","[0.000]"
"[14.485,-737.023,52.029,244.942]","[0.000]"
"[12.859,-889.504,52.535,258.988]","[0.000]"
"[10.953,-1017.100,53.045,248.556]","[0.000]"
"[8.820,-1116.130,53.513,217.385]","[0.000]"
"[6.519,-1184.040,53.900,168.096]","[0.000]"
"[4.116,-1218.720,54.178,108.866]","[0.000]"
"[1.676,-1220.150,54.330,43.188]","[0.000]"
"[-0.734,-1189.170,54.353,-19.752]","[0.000]"
"[-3.052,-1128.420,54.255,-76.520]","[0.000]"
"[-5.222,-1041.650,54.058,-118.919]","[0.000]"
"[-7.197,-932.998,53.788,-148.444]","[0.000]"
