state,input
"[24.235,0.218,46.592,-0.535]","[-3.845]"
"[24.234,0.196,46.591,-0.411]","[-3.845]"
"[24.235,0.238,46.589,-0.280]","[-3.845]"
"[24.237,0.311,46.586,-0.149]","[-3.845]"
"[24.240,0.369,46.584,-0.021]","[-3.844]"
"[24.242,0.366,46.584,0.098]","[-3.844]"
"[24.245,0.270,46.586,0.204]","[-3.844]"
"[24.246,0.104,46.588,0.286]","[-3.844]"
"[24.247,-0.094,46.592,0.335]","[-3.844]"
"[24.246,-0.286,46.594,0.339]","[-3.844]"
"[24.244,-0.440,46.595,0.294]","[-3.843]"
"[24.240,-0.546,46.596,0.211]","[-3.843]"
"[24.237,-0.600,46.595,0.108]","[-3.843]"
"[24.233,-0.598,46.595,0.000]","[-3.843]"
"[24.231,-0.539,46.595,-0.097]","[-3.842]"
"[24.229,-0.435,46.595,-0.179]","[-3.842]"
"[24.228,-0.301,46.595,-0.243]","[-3.842]"
"[24.227,-0.152,46.594,-0.286]","[-3.842]"
"[24.226,-0.002,46.592,-0.307]","[-3.842]"
"[24.226,0.139,46.590,-0.307]","[-3.842]"
"[24.227,0.262,46.587,-0.290]","[-3.842]"
"[24.228,0.357,46.586,-0.259]","[-3.842]"
"[24.231,0.418,46.585,-0.216]","[-3.842]"
"[24.233,0.444,46.585,-0.168]","[-3.841]"
"[24.236,0.435,46.586,-0.120]","[-3.841]"
"[24.484,0.821,46.437,-0.795]","[-4.270]"
"[24.488,0.827,46.433,-0.852]","[-4.268]"
"[24.491,0.806,46.427,-0.935]","[-4.267]"
"[24.494,0.773,46.420,-1.001]","[-4.266]"
"[24.497,0.741,46.413,-1.009]","[-4.264]"
"[24.500,0.722,46.410,-0.929]","[-4.264]"
"[24.503,0.722,46.407,-0.789]","[-4.262]"
"[24.505,0.748,46.406,-0.626]","[-4.261]"
"[24.508,0.804,46.405,-0.482]","[-4.261]"
"[24.511,0.891,46.404,-0.388]","[-4.259]"
"[24.514,0.994,46.402,-0.345]","[-4.259]"
"[24.518,1.094,46.400,-0.345]","[-4.257]"
"[24.523,1.170,46.398,-0.384]","[-4.256]"
"[24.529,1.205,46.397,-0.451]","[-4.256]"
"[24.534,1.196,46.396,-0.528]","[-4.255]"
"[24.540,1.143,46.395,-0.593]","[-4.254]"
"[24.545,1.045,46.393,-0.625]","[-4.253]"
"[24.549,0.904,46.389,-0.609]","[-4.253]"
