state,input
"[-0.887,0.976,54.990,-0.042]","[-0.115]"
"[-0.886,0.742,54.990,0.051]","[-0.115]"
"[-0.885,0.511,54.990,-0.004]","[-0.115]"
"[-0.884,0.284,54.990,-0.005]","[-0.115]"
"[-0.884,0.068,54.990,0.036]","[-0.115]"
"[-0.884,-0.131,54.990,-0.060]","[-0.115]"
"[-0.884,-0.315,54.990,0.072]","[-0.115]"
"[-0.885,-0.473,54.990,-0.105]","[-0.115]"
"[-0.886,-0.614,54.990,0.100]","[-0.115]"
"[-0.888,-0.722,54.990,-0.136]","[-0.115]"
"[-0.889,-0.813,54.990,0.114]","[-0.115]"
"[-0.891,-0.869,54.990,-0.148]","[-0.115]"
"[-0.893,-0.909,54.990,0.114]","[-0.115]"
"[-0.895,-0.915,54.990,-0.141]","[-0.115]"
"[-0.897,-0.907,54.990,0.097]","[-0.115]"
"[-0.899,-0.869,54.990,-0.116]","[-0.115]"
"[-0.901,-0.820,54.990,0.067]","[-0.115]"
"[-0.902,-0.749,54.990,-0.076]","[-0.115]"
"[-0.904,-0.669,54.990,0.027]","[-0.115]"
"[-0.905,-0.575,54.990,-0.027]","[-0.115]"
"[-0.906,-0.474,54.990,-0.017]","[-0.115]"
"[-0.907,-0.370,54.990,0.025]","[-0.115]"
"[-0.908,-0.261,54.990,-0.060]","[-0.115]"
"[-0.908,-0.156,54.990,0.073]","[-0.115]"
"[-0.909,-0.049,54.990,-0.096]","[-0.115]"
"[-0.909,0.046,54.990,0.111]","[-0.115]"
"[-0.909,0.142,54.990,-0.119]","[-0.115]"
"[-0.908,0.220,54.990,0.133]","[-0.115]"
"[-0.908,0.299,54.990,-0.127]","[-0.115]"
"[-0.907,0.356,54.990,0.138]","[-0.115]"
"[-0.907,0.411,54.990,-0.117]","[-0.115]"
"[-0.906,0.445,54.990,0.124]","[-0.115]"
"[-0.905,0.476,54.990,-0.093]","[-0.115]"
"[-0.904,0.487,54.990,0.093]","[-0.115]"
"[-0.903,0.493,54.990,-0.055]","[-0.115]"
"[-0.903,0.484,54.990,0.051]","[-0.115]"
"[-0.902,0.469,54.990,-0.010]","[-0.115]"
"[-0.901,0.443,54.990,0.002]","[-0.115]"
"[-0.900,0.410,54.990,0.038]","[-0.115]"
"[-0.899,0.373,54.990,-0.046]","[-0.115]"
"[2.994,0.509,54.872,0.441]","[-0.671]"
"[2.994,0.422,54.872,-0.610]","[-0.671]"
"[2.995,0.467,54.872,0.634]","[-0.671]"
"[2.996,0.334,54.872,-0.752]","[-0.671]"
"[2.996,0.393,54.872,0.740]","[-0.671]"
"[2.997,0.232,54.872,-0.797]","[-0.671]"
"[2.997,0.299,54.872,0.747]","[-0.671]"
"[2.998,0.130,54.872,-0.739]","[-0.671]"
"[2.998,0.193,54.872,0.654]","[-0.671]"
"[2.998,0.036,54.872,-0.585]","[-0.671]"
"[2.998,0.085,54.872,0.473]","[-0.671]"
"[2.998,-0.040,54.872,-0.357]","[-0.671]"
"[2.998,-0.014,54.872,0.229]","[-0.671]"
"[2.998,-0.095,54.872,-0.083]","[-0.671]"
"[2.998,-0.098,54.872,-0.045]","[-0.671]"
"[2.997,-0.126,54.872,0.199]","[-0.671]"
"[2.997,-0.161,54.872,-0.312]","[-0.671]"
"[2.996,-0.135,54.872,0.454]","[-0.671]"
"[2.996,-0.199,54.872,-0.538]","[-0.671]"
"[2.996,-0.125,54.872,0.648]","[-0.671]"
"[2.995,-0.212,54.872,-0.693]","[-0.671]"
"[2.995,-0.101,54.872,0.757]","[-0.671]"
"[2.994,-0.200,54.872,-0.755]","[-0.671]"
"[2.994,-0.067,54.872,0.766]","[-0.671]"
"[2.994,-0.166,54.872,-0.718]","[-0.671]"
"[2.993,-0.030,54.872,0.674]","[-0.671]"
"[2.993,-0.117,54.872,-0.587]","[-0.671]"
"[2.993,0.006,54.872,0.495]","[-0.671]"
"[2.993,-0.056,54.872,-0.379]","[-0.671]"
"[2.993,0.037,54.872,0.252]","[-0.671]"
"[2.993,0.008,54.872,-0.122]","[-0.671]"
"[2.993,0.062,54.872,-0.022]","[-0.671]"
"[2.993,0.071,54.872,0.150]","[-0.671]"
"[2.993,0.078,54.872,-0.293]","[-0.671]"
"[2.993,0.125,54.872,0.400]","[-0.671]"
"[2.993,0.088,54.872,-0.524]","[-0.671]"
"[2.993,0.166,54.872,0.596]","[-0.671]"
"[2.993,0.091,54.872,-0.685]","[-0.671]"
"[2.993,0.192,54.872,0.712]","[-0.671]"
"[2.994,0.089,54.872,-0.755]","[-0.671]"
"[-4.415,396.751,54.784,39.442]","[-0.038]"
"[-3.614,404.275,54.856,32.046]","[-0.118]"
"[-2.802,408.118,54.913,25.034]","[-0.198]"
"[-1.985,408.701,54.955,16.932]","[-0.277]"
"[-1.171,406.009,54.981,9.427]","[-0.357]"
"[-0.364,400.522,54.992,1.621]","[-0.437]"
"[0.429,392.408,54.988,-5.560]","[-0.516]"
"[1.203,382.190,54.970,-12.304]","[-0.596]"
"[1.956,370.128,54.939,-18.586]","[-0.676]"
"[2.682,356.781,54.897,-23.843]","[-0.755]"
"[3.381,342.404,54.844,-28.942]","[-0.835]"
"[4.051,327.590,54.782,-32.636]","[-0.915]"
"[4.691,312.507,54.713,-36.536]","[-0.995]"
"[5.302,297.772,54.637,-38.880]","[-1.074]"
"[5.883,283.418,54.557,-41.767]","[-1.154]"
"[6.436,270.058,54.472,-43.166]","[-1.234]"
"[6.964,257.584,54.383,-45.340]","[-1.313]"
"[7.468,246.561,54.291,-46.278]","[-1.393]"
"[7.951,236.773,54.197,-48.080]","[-1.473]"
"[8.416,228.684,54.100,-49.027]","[-1.553]"
"[8.867,222.022,54.000,-50.781]","[-1.632]"
"[9.306,217.095,53.897,-52.129]","[-1.712]"
"[9.737,213.645,53.791,-54.106]","[-1.792]"
"[10.162,211.781,53.681,-56.136]","[-1.871]"
"[10.585,211.317,53.566,-58.539]","[-1.951]"
"[11.008,212.140,53.446,-61.409]","[-2.031]"
"[11.435,214.184,53.320,-64.370]","[-2.110]"
"[11.866,217.119,53.188,-68.120]","[-2.190]"
"[12.304,221.017,53.048,-71.702]","[-2.270]"
"[12.750,225.364,52.900,-76.268]","[-2.350]"
"[13.206,230.369,52.744,-80.465]","[-2.429]"
"[13.672,235.388,52.578,-85.697]","[-2.509]"
"[14.148,240.738,52.401,-90.434]","[-2.589]"
"[14.634,245.720,52.215,-96.121]","[-2.668]"
"[15.131,250.714,52.018,-101.262]","[-2.748]"
"[15.636,255.047,51.809,-107.150]","[-2.828]"
"[16.151,259.103,51.590,-112.508]","[-2.907]"
"[16.672,262.314,51.359,-118.330]","[-2.987]"
"[17.199,265.012,51.117,-123.686]","[-3.067]"
"[17.731,266.797,50.864,-129.188]","[-3.147]"
"[7.147,4.313,54.336,-0.974]","[-1.276]"
"[7.156,4.566,54.334,-0.469]","[-1.276]"
"[7.165,4.521,54.333,-1.040]","[-1.276]"
"[7.174,4.565,54.331,-0.455]","[-1.276]"
"[7.183,4.303,54.330,-0.997]","[-1.276]"
"[7.191,4.160,54.328,-0.412]","[-1.276]"
"[7.199,3.738,54.327,-0.861]","[-1.276]"
"[7.206,3.444,54.326,-0.352]","[-1.276]"
"[7.212,2.925,54.325,-0.654]","[-1.276]"
"[7.217,2.522,54.324,-0.283]","[-1.276]"
"[7.222,1.971,54.323,-0.402]","[-1.276]"
"[7.225,1.504,54.323,-0.214]","[-1.276]"
"[7.228,0.981,54.322,-0.136]","[-1.276]"
"[7.229,0.495,54.322,-0.148]","[-1.276]"
"[7.230,0.046,54.322,0.116]","[-1.276]"
"[7.229,-0.418,54.322,-0.089]","[-1.276]"
"[7.228,-0.758,54.322,0.330]","[-1.276]"
